Pair,Cointegrated,Hedge Ratio (β),Observations,Validation Tests,Confidence,θ (Reversion Speed),θ CI,μ (Long-term Mean),σ (Volatility),Log-Likelihood,Num Trades,Win Rate,Total P&L,Avg Trade P&L
JPMorgan vs Goldman Sachs,✓,0.3400,502,2/4,LOW,0.040363,"[0.001000, 0.089026]",-0.000000,2.031006,-595.43,26,92.3%,"$157,925.25","$6,074.05"
Amazon vs Walmart,✓,1.2365,502,3/4,MEDIUM,0.049659,"[0.001000, 0.102750]",0.000000,3.905033,-920.66,26,92.3%,"$180,670.40","$6,948.86"
