Pair,Hedge_Ratio,Adf_Pvalue,Validation_Tests_Passed,Confidence_Level,Theta_Estimate,Theta_CI_Lower,Theta_CI_Upper,Mu_Estimate,Sigma_Estimate,Log_Likelihood,Backtest_Num_Trades,Backtest_Win_Rate,Backtest_Total_PnL,Backtest_Avg_Trade_PnL,Backtest_Avg_Holding_Days
Amazon vs Walmart,1.2186407236136363,0.006132764918266222,3,MEDIUM,0.05045979420542293,0.001,0.10404270996047127,1.5661142927560218e-14,3.9130915283096863,-919.655001042396,25,92.0,174337.06875348062,6973.482750139225,16.64
Exelon vs American Electric Power,0.32706161812718815,0.03137033410989965,3,MEDIUM,0.027937901002861056,0.0012930943723324512,0.05458270763338966,1.6719986320980068e-14,0.3587934457745736,269.456167743596,22,77.27272727272727,107548.33188244831,4888.560540111287,18.045454545454547
EOG Resources vs Schlumberger,0.35904619644670166,0.025185414698460088,3,MEDIUM,0.03093130445623086,0.001,0.07227742205429573,5.2364183791822366e-14,1.7249330973317267,-514.9011678559688,23,82.6086956521739,127302.8361169062,5534.9059181263565,17.217391304347824
Morgan Stanley vs Goldman Sachs,0.18715161736564698,0.0478778926926228,4,HIGH,0.03438340857746169,0.001,0.07623449687818656,1.0899917966349784e-15,1.024096555335466,-253.35880983710683,22,90.9090909090909,142031.76856708585,6455.989480322084,17.636363636363637
