Pair,Cointegrated,Hedge_Ratio,Intercept,N_Observations,Validation_Tests_Passed,Confidence_Level,Stationarity_Pass,Drift_Pass,Volatility_Pass,ACF_Pass,Theta_Estimate,Theta_CI_Lower,Theta_CI_Upper,Mu_Estimate,Mu_CI_Lower,Mu_CI_Upper,Sigma_Estimate,Sigma_CI_Lower,Sigma_CI_Upper,Log_Likelihood,MLE_Converged,Backtest_Num_Trades,Backtest_Win_Rate,Backtest_Total_PnL,Backtest_Avg_Trade_PnL,Backtest_Avg_Holding_Days
JPMorgan vs Goldman Sachs,True,0.3399561040414558,45.52975056285961,502,2,LOW,True,False,False,True,0.040363495354840295,0.001,0.08902680571934687,-9.470897391874114e-14,-0.004640831004581201,0.004640831004391783,2.0310062971832648,2.0176957729482754,2.044316821418254,-595.4311845636648,True,26,92.3076923076923,157925.03050696864,6074.039634883409,15.26923076923077
Amazon vs Walmart,True,1.236493710680684,97.02763204803,502,3,MEDIUM,True,True,False,True,0.04965925214877758,0.001,0.10274854291629013,2.3211524224924265e-14,-0.003516522630408788,0.003516522630455211,3.9050336665175003,3.8267320929487423,3.9833352400862583,-920.6587751719364,True,26,92.3076923076923,180670.34673164383,6948.859489678609,16.346153846153847
