Pair,Hedge_Ratio,Adf_Pvalue,Validation_Tests_Passed,Confidence_Level,Theta_Estimate,Theta_CI_Lower,Theta_CI_Upper,Mu_Estimate,Sigma_Estimate,Log_Likelihood,Backtest_Num_Trades,Backtest_Win_Rate,Backtest_Total_PnL,Backtest_Avg_Trade_PnL,Backtest_Avg_Holding_Days
Morgan Stanley vs Goldman Sachs,0.18715161493047391,0.04787781997844876,4,HIGH,0.034383425355494504,0.001,0.07623164150491196,8.208562196644847e-14,1.0240966294810572,-253.35884753708746,22,90.9090909090909,142032.2511589009,6456.011416313678,17.636363636363637
EOG Resources vs Schlumberger,0.3590461983094766,0.025185440307680784,3,MEDIUM,0.030931294913726665,0.001,0.07228037641300233,-5.249540982168926e-15,1.7249330932955775,-514.9011675911738,23,82.6086956521739,127302.85538483007,5534.906755862176,17.217391304347824
Amazon vs Walmart,1.2186407548234703,0.00613276521368096,3,MEDIUM,0.050459794566694374,0.001,0.1040424674333558,-2.5102212443063078e-14,3.91309135099425,-919.6549757102867,25,92.0,174337.16195115756,6973.486478046302,16.64
Exelon vs American Electric Power,0.327061627786481,0.03137057464068405,3,MEDIUM,0.027937966019031063,0.0012924431109375238,0.0545834889271246,-7.626613058562669e-15,0.358793751067057,269.45574998176824,22,77.27272727272727,107548.50479515466,4888.568399779757,18.045454545454547
