Pair,Hedge_Ratio,Validation_Tests,Confidence,Theta,Theta_CI_Lower,Theta_CI_Upper,Mu,Sigma,Log_Likelihood,Backtest_Num_Trades,Backtest_Win_Rate,Backtest_Total_PnL,Backtest_Avg_Trade_PnL
Morgan Stanley vs Goldman Sachs,0.18715162147585132,4,HIGH,0.034383413466818905,0.001,0.07623344046366431,1.6833554276071367e-13,1.0240964810874127,-253.35877447865397,22,90.9090909090909,142031.60225300715,6455.9819205912345
EOG Resources vs Schlumberger,0.3590462047750555,3,MEDIUM,0.030931292464699858,0.001,0.07227867120401153,-2.270425393439647e-14,1.7249328921667717,-514.9011100248106,23,82.6086956521739,127302.89113330115,5534.908310143528
Amazon vs Walmart,1.2186407322745696,3,MEDIUM,0.050459793081997786,0.001,0.10404362621849214,-8.663609688132605e-15,3.9130914785977904,-919.6549897689856,25,92.0,174337.15804031212,6973.486321612485
Exelon vs American Electric Power,0.32706162659386356,3,MEDIUM,0.02793791631434494,0.0012933204181226551,0.05458251221056722,4.7813492067279425e-14,0.3587935547251584,269.45601773581086,22,77.27272727272727,107548.39778705515,4888.5635357752335
