Pair,Hedge_Ratio,Adf_Pvalue,Validation_Tests_Passed,Confidence_Level,Theta_Estimate,Theta_CI_Lower,Theta_CI_Upper,Mu_Estimate,Sigma_Estimate,Log_Likelihood,Backtest_Num_Trades,Backtest_Win_Rate,Backtest_Total_PnL,Backtest_Avg_Trade_PnL,Backtest_Avg_Holding_Days
Amazon vs Walmart,1.218640742238929,0.006132770707706861,3,MEDIUM,0.05045978424655213,0.001,0.1040433177454144,1.1429298107119064e-13,3.913091161984724,-919.6549561084453,25,92.0,174337.13761649292,6973.485504659717,16.64
EOG Resources vs Schlumberger,0.3590462474813572,0.025185489854318892,3,MEDIUM,0.030931306539899145,0.001,0.07227888587387435,6.614410954324393e-14,1.7249333794682296,-514.9012490393463,23,82.6086956521739,127302.85912244204,5534.906918367045,17.217391304347824
Exelon vs American Electric Power,0.3270616106613417,0.031370326836619895,3,MEDIUM,0.02793794909034983,0.001292451808729802,0.05458344637196985,-1.0131347840375279e-13,0.35879377259293393,269.4557134376497,22,77.27272727272727,107547.83838359936,4888.538108345426,18.045454545454547
Morgan Stanley vs Goldman Sachs,0.18715161735258062,0.047877842973714974,4,HIGH,0.03438342079873773,0.001,0.07623339854349974,8.017824054949431e-14,1.0240966129761975,-253.35883694590663,22,90.9090909090909,142032.1751300182,6456.007960455373,17.636363636363637
