Pair,Cointegrated,Hedge_Ratio,Intercept,N_Observations,Validation_Tests_Passed,Confidence_Level,Stationarity_Pass,Drift_Pass,Volatility_Pass,ACF_Pass,Theta_Estimate,Theta_CI_Lower,Theta_CI_Upper,Mu_Estimate,Mu_CI_Lower,Mu_CI_Upper,Sigma_Estimate,Sigma_CI_Lower,Sigma_CI_Upper,Log_Likelihood,MLE_Converged,Backtest_Num_Trades,Backtest_Win_Rate,Backtest_Total_PnL,Backtest_Avg_Trade_PnL,Backtest_Avg_Holding_Days
JPMorgan vs Goldman Sachs,True,0.33995610391643033,45.529751247331,502,2,LOW,True,False,False,True,0.040363494697690065,0.001,0.08902642319784904,-4.5541094806372203e-14,-0.004648182398809748,0.004648182398718666,2.0310061422340855,2.0176837382607133,2.0443285462074576,-595.4311444084318,True,26,92.3076923076923,157925.24676555578,6074.047952521376,15.26923076923077
Amazon vs Walmart,True,1.236493715204676,97.02763191622734,502,3,MEDIUM,True,True,False,True,0.04965923871478698,0.001,0.10274984105539675,1.3591969444934808e-14,-0.0035424537572289506,0.0035424537572561346,3.9050333399159527,3.826758979457744,3.9833077003741613,-920.6587301348452,True,26,92.3076923076923,180670.40303656293,6948.86165525242,16.346153846153847
