Pair,Cointegrated,Hedge_Ratio,Intercept,N_Observations,Validation_Tests_Passed,Confidence_Level,Stationarity_Pass,Drift_Pass,Volatility_Pass,ACF_Pass,Theta_Estimate,Theta_CI_Lower,Theta_CI_Upper,Mu_Estimate,Mu_CI_Lower,Mu_CI_Upper,Sigma_Estimate,Sigma_CI_Lower,Sigma_CI_Upper,Log_Likelihood,MLE_Converged
JPMorgan vs Goldman Sachs,True,0.3399561052096196,45.52975011622712,502,2,LOW,True,False,False,True,0.04036349593925259,0.001,0.0890268842481084,-1.2375320307922735e-14,-0.004633874912976818,0.004633874912952067,2.031005886583099,2.017695788435777,2.044315984730421,-595.4310847816645,True
Amazon vs Walmart,True,1.2364937380693923,97.02762992191849,502,3,MEDIUM,True,True,False,True,0.049659257094398376,0.001,0.10274901715058074,6.562309101867993e-14,-0.0035213304893780386,0.003521330489509285,3.905033803550689,3.826741550083941,3.9833260570174374,-920.6587899954886,True
