jump_rate,method,theta_mae,theta_rmse,sigma_mae,sigma_rmse,n_valid,confidence
0.0,MLE,0.027071031294870523,0.03512266209062875,0.04362408800636246,0.05435930981808414,200,HIGH
0.0,LSTM,0.013545472928080709,0.01768038712750342,0.05679863878429441,0.07331538052003407,200,HIGH
0.02,MLE,0.39817786805752514,0.46586985627934074,2.4223522184196997,2.8069385668572098,200,HIGH
0.02,LSTM,0.04202231996223796,0.06372876068381353,0.706335886673485,0.8927398634176962,200,HIGH
0.05,MLE,0.9205268768330399,0.9797559679584736,5.469305942579217,5.881014078728914,200,HIGH
0.05,LSTM,0.13390270597184542,0.15433000401553593,1.8149719761320966,2.086801539884236,200,HIGH
0.1,MLE,2.0161025983785312,3.6973967236748475,10.200058293962048,11.604686602030295,200,HIGH
0.1,LSTM,0.26623026388414206,0.27563107265233744,3.4444493032791907,3.722590703588939,200,HIGH
0.0,MLE,0.02712215243883829,0.03519735353382112,0.08597232040097158,0.10710083125525523,200,MEDIUM
0.0,LSTM,0.013954722118563951,0.01789820167350674,0.11087886880398443,0.1438291977297454,200,MEDIUM
0.02,MLE,0.3979661878393009,0.4656518763414715,4.697657903005777,5.442050703519737,200,MEDIUM
0.02,LSTM,0.0422865181926405,0.06409399301927472,1.3718126146192378,1.734168035065959,200,MEDIUM
0.05,MLE,0.920019305337667,0.979206360857401,10.615089724557714,11.408677182073893,200,MEDIUM
0.05,LSTM,0.13353569992678238,0.15365448446414617,3.5198534658195033,4.041523009111971,200,MEDIUM
0.1,MLE,2.0161861726264516,3.698213329576189,19.810930405683333,22.53799890539045,200,MEDIUM
0.1,LSTM,0.2653931566033047,0.2749144598502392,6.676713912824464,7.21196946219749,200,MEDIUM
0.0,MLE,0.028711156994415576,0.0372488625138741,0.010551152814964705,0.01302802890230729,200,LOW
0.0,LSTM,0.02242490844855085,0.0254733112901127,0.01170166630119924,0.015196544255578974,200,LOW
0.02,MLE,0.3961309014715968,0.46412538378499196,0.4318313056623007,0.498961066183469,200,LOW
0.02,LSTM,0.04633155920591205,0.06472721873176462,0.12738649625584494,0.15921950799979542,200,LOW
0.05,MLE,0.9136702527864449,0.9726548076697016,0.9882762117218512,1.0561332056489707,200,LOW
0.05,LSTM,0.12850737114659977,0.1464430003310258,0.32350811095970217,0.36474853242638877,200,LOW
0.1,MLE,2.0517746606148926,3.9049196570126172,1.8719959262713388,2.1437365204074106,200,LOW
0.1,LSTM,0.25187111620867625,0.2608992115706818,0.6121659727282212,0.6554993991472485,200,LOW
